iid bid
55947 314
81199 330
32934 284
59291 284
24035 898
39462 19
2179 44
1079 832
22627 249
94246 284
84991 939
31342 797
59865 470
14347 752
90832 249
1611 284
47039 515
82176 380
56622 360
13809 887
93259 620
83284 135
93198 626
90820 194
10560 714
43392 791
76456 185
45871 807
59103 280
59965 518
55297 445
5792 198
1543 695
44205 848
38545 330
77417 574
773 284
57862 246
11402 239
66669 90
22693 972
93100 276
3782 470
81812 191
89048 276
3203 548
73713 918
73174 816
58256 466
43104 935
50248 893
28685 284
27427 515
6052 312
12187 880
240 887
3852 413
3895 413
22104 145
26366 284
27090 266
75243 276
29472 515
79951 4
4909 555
41950 312
95129 462
83133 284
92297 750
45292 468
70985 887
69992 413
2268 147
84718 158
41838 922
55752 801
87041 605
78317 295
58744 246
54513 437
7655 256
52219 575
83997 200
73481 19
58948 194
13956 19
21321 593
40930 593
76364 203
7455 777
29820 194
93534 135
41276 42
38392 330
16469 285
73390 19
53440 651
53913 284
27261 524
51753 288
57052 194
2066 284
7970 710
48006 237
58955 972
91327 714
5137 6
47749 714
5097 965
75531 116
95408 965
86800 237
57695 42
59123 19
55058 448
93281 466
23912 881
74316 276
28651 401
48138 842
44415 950
4815 869
3232 276
69251 97
33285 97
2440 916
85705 692
64483 21
44809 41
60622 207
53378 42
44807 932
8073 243
381 283
47735 243
54115 589
85190 634
57418 499
70972 19
515 179
73426 90
10259 284
9102 573
70976 90
14591 330
13044 987
86768 141
44490 987
23809 695
23812 623
77295 832
85211 470
49748 169
92744 194
10480 194
21296 465
16755 19
92948 695
83462 330
79280 203
6834 330
1382 330
90639 548
88510 548
53759 358
34984 492
87923 548
87341 234
66552 234
50632 695
7400 832
70305 171
75003 138
34093 559
85738 965
43620 120
79353 284
75535 284
72250 34
23282 284
74397 456
47064 448
80423 200
4895 448
25084 121
49438 284
6911 509
39065 605
43969 355
48027 66
36444 114
30950 92
39278 338
35668 765
40093 801
86349 68
6170 284
53322 389
87424 472
59168 137
21455 507
46440 6
74759 284
40646 66
86467 312
75028 6
63307 233
55889 632
79635 284
69454 472
95468 727
38005 284
51805 183
44391 47
43222 987
46140 314
45993 113
91374 474
68266 472
26771 801
11490 284
92109 539
93361 233
89600 506
81545 504
41159 312
42695 918
48557 638
86178 358
87376 470
24877 399
25610 284
18314 284
8677 395
17751 748
2509 284
803 284
13846 264
9724 797
17440 797
2053 62
68327 358
2495 575
13840 312
2052 62
83212 358
35335 375
41192 375
8330 284
94145 243
86672 284
88289 243
74647 284
84608 375
72000 243
25566 243
30825 243
16908 243
11340 243
71237 243
78979 243
77513 243
84773 375
35996 243
71535 809
69803 375
15435 284
79952 284
406 284
14910 809
78730 243
75157 284
78316 243
71499 375
74410 375
76002 809
75413 948
74939 375
23675 375
74932 284
72583 284
74028 284
330 284
35799 243
72742 809
69681 243
37384 809
37225 284
37223 375
67252 948
70863 948
70121 948
69018 284
35749 284
34683 948
25362 243
1002 375
18030 243
34684 948
23677 43
1241 375
29675 284
1019 284
18261 243
33376 284
35434 284
34698 375
96 545
25722 375
24960 467
94211 180
70166 284
40984 543
84911 224
51063 263
51062 263
50097 11
29342 486
5334 224
81883 263
51534 11
42370 77
32566 11
30011 907
50463 11
17675 49
77176 39
25169 191
31392 284
31397 284
79819 284
15666 76
5822 284
6990 782
94997 667
94995 284
24062 284
78978 950
138 825
38109 893
13273 358
2272 104
20417 591
11306 35
42949 921
4016 477
31438 330
65404 284
62019 703
62253 893
60227 345
61029 499
62139 284
29479 284
10891 708
30171 345
40943 57
39312 600
37865 57
59874 768
57301 345
38072 345
80499 284
37311 148
37300 148
37310 148
3465 284
90087 692
76087 692
57530 674
80438 299
3464 284
14254 284
69126 129
56240 284
48502 830
38294 692
93607 265
5127 835
38013 191
28922 66
88598 66
82300 246
86750 782
86749 782
78597 448
78820 148
89866 345
84959 174
29891 358
51976 340
69708 174
27974 448
92537 835
5778 191
70570 437
92572 575
84480 284
83015 437
44491 448
92442 575
92438 835
36028 148
43124 284
38898 284
34307 358
38094 371
74396 782
19244 191
95106 448
31031 472
18548 470
63772 76
7317 825
40396 345
84642 284
95727 507
25991 284
11486 448
11482 18
11484 18
11481 18
11487 448
24811 395
16706 714
5087 345
81873 345
18019 345
10618 284
17560 284
12553 284
66601 284
35830 26
18354 345
64596 179
71019 345
26081 507
80513 284
66800 507
79966 172
63376 169
63190 40
64761 832
63091 708
65257 284
62398 578
94239 918
52167 188
34746 383
62875 752
55030 13
60712 13
51077 113
61097 708
62006 298
59426 832
26816 492
62523 113
92359 284
61941 708
44148 708
76644 284
63329 714
61444 383
60200 708
62988 714
60474 284
23065 185
22083 185
7057 19
80341 219
21932 147
66603 169
51603 219
61169 708
87893 708
61477 708
54124 239
45297 38
59090 918
23073 90
55323 284
57869 599
60029 46
54864 470
60014 113
51990 284
41541 239
27008 147
54630 243
50657 113
69252 708
57664 555
5273 109
47914 708
41767 233
7716 832
40108 492
58790 607
31793 340
40708 492
80270 688
56034 601
75988 109
45172 888
57347 893
56293 19
55050 284
85969 366
48324 77
55163 708
1815 340
1985 340
55762 113
55782 86
55247 97
18244 936
29091 425
47976 284
53962 284
48009 425
38233 381
45817 815
54918 893
48008 425
39392 298
29090 425
50196 708
33699 298
69704 340
24648 239
33691 298
46794 437
51046 714
40318 834
42378 284
65612 708
88518 97
27256 19
41123 340
26574 284
39351 670
94986 340
53216 832
46262 381
73999 234
11475 996
95011 727
54181 284
25627 284
31871 777
87880 284
7175 284
83048 284
47990 425
37857 425
29089 65
52890 682
51309 425
52578 425
81672 340
52567 284
49128 682
80023 284
71980 395
51401 425
44626 832
33515 97
90857 708
47709 555
44722 918
43955 607
35054 555
31867 340
31794 340
1786 19
8290 284
88734 965
10925 764
94101 19
84764 97
29451 113
18393 832
80218 515
40801 77
26750 77
39781 400
29914 400
11906 400
5551 400
94903 400
39199 169
94736 101
94735 101
94305 101
94304 101
72783 169
3752 801
90877 801
91092 113
84621 109
85484 198
5303 708
77663 708
5234 456
83362 607
87615 607
82862 607
80847 607
6383 626
19301 832
20535 278
14913 202
93337 708
35240 86
92199 797
91448 26
28653 203
89823 708
3941 19
83051 147
29753 284
1779 358
35800 950
79253 395
1035 345
95081 284
94022 37
94422 425
74870 81
93810 340
31239 16
30963 183
78888 113
82198 832
24443 202
36426 472
89876 400
73650 113
88700 764
83215 532
9888 437
86884 366
13900 340
66672 472
78311 555
84617 708
5632 284
80845 708
74317 86
75944 708
81755 298
79962 832
77614 708
6116 89
74209 169
69421 169
72249 437
25885 100
67175 100
67176 850
26481 100
1559 395
71641 100
35026 555
18974 169
40088 284
66789 284
22537 853
63769 219
30661 832
22665 284
35205 284
36172 341
27543 26
35785 226
22915 284
17438 708
25625 219
30178 284
26099 196
17911 91
26144 574
23095 284
14654 832
18678 345
37561 801
319 284
40640 801
90493 169
19943 283
93686 273
3974 284
26065 41
24821 731
24593 284
78612 149
3807 273
30882 273
94666 612
53987 381
72420 243
52089 358
61000 364
91724 284
85117 237
46706 462
79622 113
30416 279
48292 819
40143 19
2450 145
79659 284
72040 157
65791 235
258 237
5877 276
12617 249
1899 904
74848 19
72284 284
64203 771
85357 6
29432 145
19159 169
13994 612
4026 246
94146 284
1362 113
93849 632
7065 284
23743 495
90477 477
64204 972
25841 41
74868 219
16371 674
27810 665
711 34
83338 12
33224 34
70589 243
34853 131
1052 358
5760 433
37187 93
63245 340
91357 19
50051 69
23117 394
23301 169
63661 906
60953 284
60907 736
88290 284
17136 690
12978 690
40393 47
28477 893
53951 113
49542 893
47015 284
35604 797
50217 413
48864 930
32617 34
70821 358
9116 797
2403 284
24096 593
40624 284
44413 253
9073 202
70598 19
29332 229
24334 169
15835 750
24380 19
32627 750
37505 284
44870 358
11106 284
74220 803
25940 19
6067 358
11988 571
30331 589
18724 284
89601 284
43282 43
80760 578
1716 19
29423 246
33696 333
91116 358
83044 284
35808 41
18210 284
24909 893
66319 138
37690 284
84172 284
71518 284
65191 284
21121 580
25395 580
4216 589
73688 832
95542 358
95589 950
94600 113
92680 348
23057 284
5878 358
40445 19
73956 130
37992 113
1592 284
2233 41
79839 41
81611 575
6109 887
32356 113
83961 41
38634 340
25669 54
15662 128
70590 19
80781 47
80813 19
72584 284
69852 194
65628 109
27064 358
28326 113
92602 130
29978 66
31141 46
5167 42
4527 330
7401 284
88760 930
89561 284
18773 916
6086 19
18123 194
23137 358
8288 825
90112 19
89147 221
83755 284
1757 19
69801 210
1702 104
1270 419
37440 0
80514 243
76883 916
12764 163
79517 358
79060 191
73104 284
33727 358
24277 288
6224 887
3813 43
2746 358
15536 243
34156 130
1949 593
33284 97
33617 243
76282 148
81077 452
61877 991
18454 207
